"metric","x","value","group","x_unit","unit","definition","display_name","fishery","fishery_name","group_label"
"selectivity",7,0.0272409429656234,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",8,0.0173079999366135,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",9,0.0139642918150045,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",10,0.0127434937623909,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",11,0.012333982378803,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",12,0.012333982378803,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",1,2.06115362243856e-09,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",2,2.06115362243856e-09,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",3,2.06115362243856e-09,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",4,2.06114257791568e-09,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",5,0.000107817211680118,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",6,1.06374499603911,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",7,7.54052163001491,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",8,6.58005684059892,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",9,4.41188573819896,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",10,3.31723262210367,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",11,2.84119216785787,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",12,2.84119216785787,"Fishery 14","model age class","relative selectivity","Fishery selectivity at age",,14,"14.LL.EPO.2a","14.LL.EPO.2a"
"selectivity",1,2.06115362243856e-09,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",2,0.020834430188141,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",3,0.471859301135735,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",4,2.96472831615479,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",5,1.57631167651509,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",6,0.638514987185454,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",7,0.346533579404666,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",8,0.247678422392905,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",9,0.210325704349038,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",10,0.195946182508917,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",11,0.191004763553761,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",12,0.191004763553761,"Fishery 15","model age class","relative selectivity","Fishery selectivity at age",,15,"15.LL.EPO.2b","15.LL.EPO.2b"
"selectivity",1,2.06115362243856e-09,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",2,0.0466018797611375,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",3,0.572181200302225,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",4,2.72616073630678,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",5,1.85894945378602,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",6,0.984173431746605,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",7,0.634265173453787,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",8,0.49724171580243,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",9,0.441475520681296,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",10,0.41925186746697,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",11,0.411503134118026,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",12,0.411503134118026,"Fishery 16","model age class","relative selectivity","Fishery selectivity at age",,16,"16.LL.EPO.2c","16.LL.EPO.2c"
"selectivity",1,0.114677537468991,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",2,1.07842384945244,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",3,2.65099051135908,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",4,0.900994996746583,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",5,0.299328315380291,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",6,0.148793436221734,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",7,0.10234055977469,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",8,0.0855037723286075,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",9,0.079145983543915,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",10,0.076980974012163,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",11,0.0765390518858157,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",12,0.0765390518858157,"Fishery 17","model age class","relative selectivity","Fishery selectivity at age",,17,"17.TR.EPO.2abc","17.TR.EPO.2abc"
"selectivity",1,2.06115362243856e-09,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",2,2.06115362243856e-09,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",3,0.0128179569298535,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",4,0.0309794319548548,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",5,0.143223391888088,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",6,0.538716226294419,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",7,1.23908222487906,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",8,1.94734420198241,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",9,2.43809917871391,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",10,2.70417101071733,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",11,2.82419516534036,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",12,2.82419516534036,"Fishery 18","model age class","relative selectivity","Fishery selectivity at age",,18,"18.L.INDEX.1abcd","18.L.INDEX.1abcd"
"selectivity",1,0.254607788863572,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",2,2.45289597632478,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",3,1.97123670958392,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",4,0.123837822722321,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",5,0.0120759633856852,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",6,0.00296761665515548,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",7,0.00142318847551171,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",8,0.00100415578117943,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",9,0.00086526508579648,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",10,0.000820432263284465,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",11,0.000811445328492908,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",12,0.000811445328492908,"Fishery 19","model age class","relative selectivity","Fishery selectivity at age",,19,"19.TR.INDEX.1ef","19.TR.INDEX.1ef"
"selectivity",1,2.06115362243856e-09,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",2,2.06115362243856e-09,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",3,2.06115362243856e-09,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",4,2.06115362243856e-09,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",5,1.00458065443225,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",6,1.0027584689274,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",7,0.999938092626668,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",8,0.997710783754387,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",9,0.99635998704358,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",10,0.995638777340613,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",11,0.995283404292054,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"selectivity",12,0.995283404292054,"Fishery 20","model age class","relative selectivity","Fishery selectivity at age",,20,"20.L.INDEX.2abc","20.L.INDEX.2abc"
"movement",1,0.0187098768,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",2,0.0144535533,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",3,0.020832468,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",4,0.0311356506,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",5,0.0391977155,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",6,0.0450119348,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",7,0.0492982361,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",8,0.0529633456,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",9,0.0561331314,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",10,0.0589000893,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",11,0.061278245,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",12,0.0662457342,"Season 1: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 1 to 2"
"movement",1,0.1178444146,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",2,0.0817068412,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",3,0.0747256038,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",4,0.0882539745,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",5,0.1079844784,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",6,0.1161814814,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",7,0.1174968513,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",8,0.1168634577,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",9,0.1158795503,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",10,0.115006998,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",11,0.1141465857,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",12,0.1131661912,"Season 1: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 1: 2 to 1"
"movement",1,0.0212057418,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",2,0.0160191081,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",3,0.0215915525,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",4,0.031402154,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",5,0.0394005845,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",6,0.0447725317,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",7,0.048744526,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",8,0.0521873715,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",9,0.0551941101,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",10,0.0578555368,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",11,0.0601352936,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",12,0.064911623,"Season 2: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 1 to 2"
"movement",1,0.1068326726,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",2,0.0773715969,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",3,0.0746342745,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",4,0.0874956921,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",5,0.1036019393,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",6,0.1110475468,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",7,0.1128376146,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",8,0.1126196878,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",9,0.1118748516,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",10,0.1111473833,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",11,0.1104089247,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",12,0.1094863068,"Season 2: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 2: 2 to 1"
"movement",1,0.018553443,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",2,0.0147008281,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",3,0.020086057,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",4,0.0298209164,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",5,0.0370781555,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",6,0.0420311159,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",7,0.0458229607,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",8,0.0490912362,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",9,0.0519262942,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",10,0.0544562075,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",11,0.0566146231,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",12,0.0611202443,"Season 3: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 1 to 2"
"movement",1,0.1109394867,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",2,0.0777575492,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",3,0.074757452,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",4,0.087480735,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",5,0.0992604147,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",6,0.1070897757,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",7,0.1086718963,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",8,0.1082755343,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",9,0.1074012905,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",10,0.1065806858,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",11,0.1057340888,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",12,0.1048606825,"Season 3: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 3: 2 to 1"
"movement",1,0.0184494664,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",2,0.0140565544,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",3,0.0194730338,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",4,0.0298902028,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",5,0.0379265611,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",6,0.0435308555,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",7,0.0476025859,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",8,0.0510095348,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",9,0.0539499224,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",10,0.0565522482,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",11,0.0587680183,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",12,0.0632810658,"Season 4: 1 to 2","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 1 to 2"
"movement",1,0.1110735445,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",2,0.0770159263,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",3,0.0727379942,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",4,0.0860487878,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",5,0.0976112542,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",6,0.1054664495,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",7,0.106875884,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",8,0.1064041023,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",9,0.1055965854,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",10,0.1048258332,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",11,0.1039860834,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
"movement",12,0.1033412816,"Season 4: 2 to 1","model age class","probability","Probability of movement from source to destination region per movement event",,,,"Season 4: 2 to 1"
